abbr,fips,state,total_cases,total_death,death_100k,cases_in_last_7days,rate_per100000,pop,latitude,longitude
AL,1,Alabama,71886,1363,27.9,12773,1470.7,4903185,32.31823,-86.902298
AK,2,Alaska,2132,19,2.6,501,289.1,731545,66.160507,-153.369141
AZ,4,Arizona,150609,2974,41.5,19255,2100.1,7278717,34.048927,-111.093735
AR,5,Arkansas,35246,380,12.6,4949,1169.5,3017804,34.799999,-92.199997
CA,6,California,413576,7870,19.9,65942,1045.5,39512223,36.778259,-119.417931
CO,8,Colorado,41698,1771,31.1,3543,732.1,5758736,39.113014,-105.358887
CT,9,Connecticut,48223,4406,123.3,587,1349.8,3565287,41.599998,-72.699997
DE,10,Delaware,13924,529,54.7,810,1439.7,973764,39,-75.5
DC,11,District of Columbia,11529,580,82.6,503,1641.2,705749,,
FL,12,Florida,374920,5345,25.1,77044,1760.2,21477737,27.994402,-81.760254
GA,13,Georgia,152302,3335,31.7,24468,1447.8,10617423,33.247875,-83.441162
HI,15,Hawaii,1339,25,1.8,149,94.3,1415872,19.741755,-155.844437
ID,16,Idaho,16322,135,7.7,3877,930.4,1787065,44.068203,-114.742043
IL,17,Illinois,166476,7540,59.2,8651,1306.6,12671821,40,-89
IN,18,Indiana,58673,2863,42.8,5303,876.8,6732219,40.273502,-86.126976
IA,19,Iowa,40000,808,25.6,3706,1267.4,3155070,42.032974,-93.581543
KS,20,Kansas,24104,308,10.6,3171,827.9,2913314,38.5,-98
KY,21,Kentucky,24540,677,15.2,3863,549.2,4467673,37.839333,-84.27002
LA,22,Louisiana,99354,3670,78.8,15223,2132.1,4648794,30.39183,-92.329102
ME,23,Maine,3737,118,8.8,139,279.2,1344212,45.367584,-68.972168
MD,24,Maryland,80836,3409,56.4,5172,1337.7,6045680,39.045753,-76.641273
MA,25,Massachusetts,114320,8468,122.7,1973,1656.3,6892503,42.407211,-71.382439
MI,26,Michigan,83730,6388,64,4817,838.4,9986857,44.182205,-84.506836
MN,27,Minnesota,48721,1601,28.5,4374,868.3,5639632,46.39241,-94.63623
MS,28,Mississippi,48053,1436,48.1,8255,1609,2976149,33,-90
MO,29,Missouri,36063,1159,18.9,6349,588.6,6137428,38.573936,-92.60376
MT,30,Montana,2909,42,4,691,273.8,1068778,46.96526,-109.533691
NE,31,Nebraska,23486,311,16.1,1507,1217.4,1934408,41.5,-100
NV,32,Nevada,38877,730,24.1,8204,1281.2,3080156,39.876019,-117.224121
NH,33,New Hampshire,6295,402,29.6,182,464.1,1359711,44,-71.5
NJ,34,New Jersey,177645,15707,176.3,1367,1994.1,8882190,39.833851,-74.871826
NM,35,New Mexico,17828,591,28.2,1987,850.8,2096829,34.307144,-106.018066
NY,36,New York,410560,32263,358.4,4684,4341.6,19453561,43,-75
NC,37,North Carolina,105001,1698,16.4,13735,1011.2,10488084,35.782169,-80.793457
ND,38,North Dakota,5493,97,12.8,825,722.7,762062,47.650589,-100.437012
OH,39,Ohio,78742,3235,27.7,9431,673.6,11689100,40.367474,-82.996216
OK,40,Oklahoma,27541,473,12,5709,698.5,3956971,36.084621,-96.921387
OR,41,Oregon,15394,271,6.5,2313,367.3,4217737,44,-120.5
PA,42,Pennsylvania,104358,7079,55.3,5912,814.8,12801989,41.203323,-77.194527
RI,44,Rhode Island,18062,997,94.3,422,1708.3,1059361,41.700001,-71.5
SC,45,South Carolina,75042,1285,25.3,12797,1476,5148714,33.836082,-81.163727
SD,46,South Dakota,8077,119,13.5,425,915.5,884659,44.5,-100
TN,47,Tennessee,84417,888,13.1,15356,1246.9,6829174,35.860119,-86.660156
TX,48,Texas,351618,4348,15.1,69253,1225.1,28995881,31,-100
UT,49,Utah,36254,263,8.3,4590,1146.9,3205958,39.41922,-111.950684
VT,50,Vermont,1366,56,8.9,48,218.1,623989,44,-72.699997
VA,51,Virginia,81237,2054,24.1,6806,953.7,8535519,37.926868,-78.024902
WA,53,Washington,49247,1468,19.5,6201,653.5,7614893,,
WV,54,West Virginia,5461,102,5.6,904,302.4,1792147,39,-80.5
WI,55,Wisconsin,48583,872,15,6386,835.7,5822434,44.5,-89.5
WY,56,Wyoming,2288,25,4.3,303,396,578759,43.07597,-107.290283